Sampler:TPESampler
(59, 98, 64), None
(94, 98, 10), None
(42, 91, 67), 26.0
(88, 56, 8), 29.0
(86, 41, 31), 30.0
(14, 47, 85), 26.0
(91, 44, 39), 32.0
(54, 49, 50), 20.0
(43, 76, 35), 28.0
(91, 72, 27), 27.0
(70, 6, 97), None
(74, 25, 34), 28.0
(99, 32, 22), None
(75, 29, 50), 28.0
(3, 9, 45), None
(31, 63, 16), 26.0
(64, 40, 69), 24.0
(83, 22, 2), 30.0
(82, 14, 1), 31.0
(79, 16, 0), 30.0
(64, 10, 17), 26.0
(85, 39, 38), 30.0
(97, 36, 43), None
(81, 20, 1), 30.0
(69, 17, 10), 32.0
(68, 1, 14), 30.0
(50, 15, 58), 34.0
(34, 59, 58), 30.0
(48, 2, 75), 26.0
(57, 30, 57), None
(25, 18, 75), 26.0
(61, 14, 22), 38.0
(53, 13, 24), 30.0
(63, 25, 58), 24.0
(41, 6, 8), None
(49, 45, 28), 36.0
(49, 54, 40), 26.0
(58, 90, 30), 24.0
(43, 68, 21), 29.0
(19, 47, 53), 29.0
(33, 45, 45), None
(51, 33, 12), 31.0
(69, 54, 33), 26.0
(91, 81, 27), 28.0
(45, 25, 19), 28.0
(75, 6, 64), None
(60, 43, 27), 32.0
(60, 43, 29), 30.0
(55, 50, 37), 28.0
(38, 35, 6), None
(72, 27, 92), 26.0
(60, 21, 25), 38.0
(60, 51, 33), 44.0
(38, 60, 24), 30.0
(61, 49, 26), 30.0
(48, 66, 33), 25.0
(65, 22, 19), 30.0
(79, 12, 48), 26.0
(54, 16, 10), 32.0
(54, 8, 17), 28.0
(46, 15, 6), None
(66, 38, 41), 30.0
(51, 20, 36), 36.0
(58, 21, 36), 32.0
(52, 30, 22), 28.0
(57, 21, 32), 30.0
(40, 19, 35), 20.0
(50, 3, 50), None
(62, 12, 30), 34.0
(1, 12, 44), 31.0
(62, 4, 30), None
(66, 9, 26), 26.0
(72, 17, 15), 28.0
(68, 24, 22), 30.0
(60, 53, 29), 25.0
(56, 13, 13), None
(45, 28, 39), 34.0
(46, 28, 41), 32.0
(52, 19, 61), 34.0
(45, 32, 55), 26.0
(50, 10, 38), 32.0
(53, 19, 63), 24.0
(43, 24, 68), 32.0
(49, 15, 74), 24.0
(63, 23, 60), 30.0
(36, 18, 71), 37.0
(28, 0, 77), 28.0
(36, 26, 84), 26.0
(41, 18, 47), 34.0
(32, 18, 53), 29.0
(40, 58, 48), 26.0
(47, 11, 72), 24.0
(56, 14, 81), 28.0
(52, 8, 62), 24.0
(43, 20, 65), 36.0
(36, 35, 66), 28.0
(30, 20, 70), 23.0
(44, 26, 43), 32.0
(8, 6, 66), None
(42, 30, 46), 32.0
(37, 22, 39), 32.0
(59, 17, 31), 32.0
(40, 15, 60), 30.0
(47, 52, 24), 28.0
(54, 20, 34), 24.0
(51, 28, 51), None
