Sampler:TPESampler
(47, 92, 64), 30.0
(28, 87, 1), 24.0
(54, 53, 57), 34.0
(88, 52, 2), 28.0
(59, 89, 96), None
(76, 35, 24), 32.0
(56, 3, 69), None
(71, 93, 44), 28.0
(0, 96, 90), None
(70, 12, 50), 24.0
(31, 51, 31), None
(92, 28, 23), 26.0
(78, 66, 31), 34.0
(40, 66, 72), 30.0
(98, 72, 46), None
(82, 68, 55), 28.0
(62, 35, 35), None
(11, 59, 13), 23.0
(45, 77, 79), 26.0
(34, 41, 59), 26.0
(67, 20, 37), 30.0
(79, 41, 21), 24.0
(78, 59, 16), 37.0
(87, 59, 12), 26.0
(54, 80, 12), 30.0
(97, 61, 41), None
(22, 48, 26), 38.0
(21, 46, 19), 34.0
(19, 44, 16), 32.0
(46, 57, 63), 28.0
(21, 28, 5), None
(8, 48, 26), 36.0
(1, 53, 28), 28.0
(10, 50, 8), 38.0
(9, 47, 5), None
(11, 36, 0), 25.0
(7, 54, 6), None
(16, 39, 26), 34.0
(25, 31, 9), 26.0
(5, 84, 17), None
(36, 49, 37), 38.0
(37, 63, 36), 29.0
(16, 50, 28), 30.0
(24, 45, 23), 28.0
(28, 56, 32), 27.0
(14, 49, 40), 32.0
(40, 70, 50), 25.0
(32, 75, 18), 26.0
(2, 22, 25), 34.0
(50, 53, 33), 26.0
(29, 65, 45), 32.0
(6, 1, 27), None
(15, 40, 15), None
(21, 45, 20), 28.0
(26, 49, 10), 30.0
(38, 35, 20), 18.0
(62, 43, 8), 33.0
(72, 61, 52), 27.0
(18, 40, 40), None
(83, 67, 30), 28.0
(75, 57, 37), 34.0
(65, 47, 23), 26.0
(55, 52, 86), 26.0
(2, 11, 24), 36.0
(2, 9, 24), 27.0
(11, 18, 14), 24.0
(22, 15, 12), 35.0
(13, 13, 4), None
(43, 7, 12), None
(4, 28, 2), None
(50, 17, 17), None
(9, 24, 99), None
(23, 4, 54), None
(20, 13, 18), 26.0
(91, 97, 61), None
(0, 36, 21), 27.0
(33, 55, 30), 36.0
(35, 56, 30), 28.0
(8, 60, 34), 32.0
(31, 32, 43), 35.0
(31, 33, 46), 28.0
(27, 25, 42), 32.0
(33, 50, 37), 28.0
(40, 55, 30), 28.0
(29, 63, 28), 26.0
(43, 43, 10), None
(18, 10, 22), 28.0
(23, 15, 25), 35.0
(22, 16, 25), 23.0
(35, 47, 35), None
(12, 53, 7), None
(24, 15, 15), None
(16, 7, 39), None
(31, 20, 33), 27.0
(4, 58, 27), None
(26, 0, 44), 32.0
(29, 38, 48), 32.0
(17, 51, 13), 32.0
(38, 48, 31), 34.0
(48, 64, 19), 28.0
(10, 32, 24), 33.0
(14, 42, 26), 40.0
(19, 43, 29), 42.0
(7, 43, 27), None
(13, 45, 68), 36.0
(15, 42, 29), 36.0
(14, 38, 67), 38.0
(6, 38, 67), None
(12, 45, 74), 26.0
(14, 42, 74), 28.0
(19, 41, 81), 24.0
(14, 49, 68), 37.0
(3, 51, 62), None
(15, 45, 66), 28.0
(10, 48, 70), 26.0
(14, 38, 70), 30.0
(57, 54, 77), 28.0
(8, 55, 31), 27.0
(19, 50, 29), 35.0
(12, 46, 57), 44.0
(52, 59, 57), 30.0
(13, 47, 67), 28.0
(17, 44, 65), 28.0
(11, 40, 64), 28.0
(20, 46, 69), 29.0
(15, 35, 61), 28.0
(5, 42, 58), None
(7, 53, 21), None
(0, 50, 22), 33.0
(13, 52, 73), 22.0
(9, 49, 33), 36.0
(16, 46, 54), 28.0
(96, 93, 36), None
(11, 57, 26), 32.0
(17, 45, 29), 27.0
(8, 48, 34), 33.0
(21, 62, 23), 30.0
(3, 43, 77), None
(9, 49, 39), 30.0
(5, 37, 17), None
(10, 40, 32), 32.0
(13, 52, 33), 28.0
(15, 55, 27), 28.0
(12, 49, 37), 36.0
(11, 44, 29), 28.0
(18, 47, 51), 34.0
