Sampler:TPESampler
(15, 94, 9, 64, 81, 51), 21.0
(41, 53, 27, 29, 56, 2), 22.0
(71, 72, 10, 39, 33, 92), 18.0
(48, 32, 6, 62, 36, 5), None
(84, 77, 79, 49, 80, 99), None
(17, 75, 76, 54, 92, 68), 23.0
(62, 68, 37, 6, 39, 22), None
(54, 36, 15, 73, 85, 95), 22.0
(54, 93, 47, 35, 14, 4), None
(48, 58, 19, 29, 89, 18), None
(2, 4, 99, 90, 61, 65), None
(29, 44, 75, 14, 61, 72), 17.0
(29, 22, 63, 21, 0, 38), 19.0
(31, 55, 33, 49, 98, 73), None
(13, 80, 64, 99, 64, 48), None
(97, 62, 97, 0, 51, 33), None
(37, 46, 30, 69, 70, 58), 19.0
(16, 87, 52, 25, 99, 82), None
(1, 20, 85, 42, 22, 38), 20.0
(39, 64, 50, 80, 53, 18), 19.0
(21, 81, 24, 55, 72, 82), 18.0
(63, 37, 18, 76, 88, 86), 20.0
(74, 33, 41, 56, 87, 73), 20.0
(43, 49, 0, 78, 76, 61), 22.0
(40, 52, 59, 85, 73, 59), None
(60, 21, 24, 69, 93, 98), None
(21, 46, 1, 97, 79, 48), None
(41, 68, 72, 33, 43, 64), 23.0
(7, 69, 69, 17, 44, 68), None
(26, 97, 81, 61, 27, 57), None
(35, 87, 88, 30, 45, 51), 18.0
(43, 58, 90, 41, 55, 64), 24.0
(46, 74, 90, 41, 57, 78), 24.0
(45, 74, 92, 45, 45, 78), None
(54, 63, 71, 37, 67, 89), 27.0
(55, 63, 71, 35, 57, 89), 24.0
(70, 61, 90, 39, 66, 87), 19.0
(54, 56, 80, 45, 57, 92), 21.0
(69, 65, 84, 39, 56, 89), 21.0
(81, 84, 94, 33, 67, 78), 22.0
(50, 73, 68, 23, 36, 80), 24.0
(61, 77, 68, 25, 32, 92), 18.0
(51, 71, 58, 12, 57, 80), 18.0
(57, 61, 76, 36, 39, 84), 21.0
(47, 72, 56, 22, 49, 75), 20.0
(52, 57, 86, 45, 62, 99), None
(48, 66, 65, 25, 33, 68), 24.0
(65, 78, 66, 9, 19, 90), 20.0
(33, 90, 73, 29, 48, 95), 20.0
(48, 51, 44, 52, 35, 64), 27.0
(56, 41, 45, 16, 9, 68), 22.0
(48, 68, 61, 49, 33, 71), 19.0
(44, 52, 53, 51, 28, 54), 18.0
(58, 58, 37, 41, 53, 64), None
(38, 65, 96, 60, 58, 77), None
(49, 73, 70, 27, 39, 85), 20.0
(66, 81, 77, 20, 28, 70), 21.0
(51, 49, 46, 53, 35, 44), 21.0
(44, 61, 83, 35, 68, 62), 23.0
(74, 26, 41, 38, 61, 82), 20.0
(55, 2, 64, 47, 50, 75), 23.0
(46, 54, 55, 33, 22, 67), 25.0
(35, 54, 55, 31, 22, 68), 20.0
(42, 44, 99, 42, 10, 95), None
(48, 67, 64, 23, 25, 81), 16.0
(60, 51, 49, 26, 39, 55), 17.0
(53, 40, 61, 57, 18, 65), 19.0
(46, 76, 74, 18, 32, 74), None
(30, 48, 89, 32, 37, 59), 21.0
(40, 59, 78, 42, 53, 88), 23.0
(95, 70, 70, 34, 15, 84), None
(50, 55, 43, 36, 42, 71), 17.0
