Sampler:TPESampler
(197, 189, 297), 84.0
(71, 114, 216), None
(219, 277, 247), 81.0
(65, 124, 272), 52.0
(174, 247, 294), 96.0
(219, 197, 99), None
(140, 178, 230), 68.0
(194, 8, 86), None
(198, 203, 7), None
(129, 280, 26), 49.0
(298, 42, 5), None
(2, 99, 147), None
(87, 116, 163), 54.0
(85, 288, 64), 74.0
(21, 77, 165), None
(130, 159, 38), 88.0
(47, 236, 126), 52.0
(36, 246, 128), 62.0
(110, 135, 210), None
(46, 240, 52), 64.0
(106, 220, 115), None
(59, 290, 195), None
(160, 267, 185), 70.0
(114, 152, 269), None
(2, 225, 82), 74.0
(69, 263, 33), 68.0
(29, 298, 132), 59.0
(89, 87, 257), 72.0
(266, 69, 110), None
(54, 180, 290), 55.0
(126, 218, 68), 58.0
(92, 131, 169), 58.0
(75, 116, 155), 75.0
(99, 167, 234), None
(71, 52, 196), 86.0
(152, 110, 28), None
(45, 127, 275), 62.0
(19, 141, 218), 62.0
(173, 198, 90), 74.0
(143, 255, 180), None
(63, 275, 243), 54.0
(62, 278, 243), 54.0
(60, 274, 248), 65.0
(42, 277, 235), 68.0
(84, 239, 273), 69.0
(15, 282, 291), 52.0
(14, 298, 291), 56.0
(123, 102, 299), 55.0
(16, 232, 12), None
(211, 261, 258), 60.0
(31, 9, 135), None
(81, 253, 283), 56.0
(51, 283, 209), 54.0
(51, 285, 222), 54.0
(4, 212, 261), None
(49, 288, 215), 48.0
(32, 286, 279), 49.0
(33, 298, 283), 52.0
(33, 298, 281), 52.0
(27, 266, 270), 52.0
(26, 250, 269), 55.0
(38, 295, 284), 54.0
(35, 299, 278), 59.0
(10, 268, 264), None
(256, 242, 251), None
(22, 262, 67), 69.0
(8, 271, 296), None
(28, 291, 46), 52.0
(42, 291, 203), 52.0
(0, 231, 203), 52.0
(0, 231, 201), 52.0
(5, 184, 189), None
(43, 288, 26), 62.0
(22, 228, 202), 60.0
(32, 282, 285), 54.0
(54, 259, 117), 50.0
(75, 263, 278), 60.0
(54, 270, 120), 59.0
(95, 257, 150), 84.0
(66, 290, 140), 54.0
(103, 210, 171), 56.0
(41, 281, 268), 66.0
(27, 275, 43), 64.0
(14, 248, 228), 56.0
(178, 157, 178), None
(49, 291, 54), 63.0
(33, 286, 16), 58.0
(21, 123, 107), 62.0
(56, 279, 161), None
(0, 233, 253), None
(64, 140, 4), None
(12, 236, 96), None
(17, 220, 210), 56.0
(40, 291, 58), None
(8, 245, 122), None
(46, 255, 203), None
